Time,Open,High,Low,Close
2026-07-10 06:00:00,4120.31,4120.93,4111.55,4114.82
2026-07-10 07:00:00,4114.86,4117.36,4107.96,4116.99
2026-07-10 08:00:00,4116.94,4119.57,4111.03,4111.35
2026-07-10 09:00:00,4111.2,4115.36,4103.66,4108.51
2026-07-10 10:00:00,4108.66,4109.47,4094.17,4097.82
2026-07-10 11:00:00,4097.87,4105.52,4093.93,4104.46
2026-07-10 12:00:00,4104.43,4112.78,4103.85,4104.1
2026-07-10 13:00:00,4104.03,4108.13,4095.95,4102.21
2026-07-10 14:00:00,4102.37,4117.53,4096.88,4100.86
2026-07-10 15:00:00,4101.29,4106.51,4085.13,4100.03
2026-07-10 16:00:00,4100.1,4108.21,4072.81,4092.53
2026-07-10 17:00:00,4093.17,4113.46,4090.75,4113.22
2026-07-10 18:00:00,4113.16,4115.6,4104.32,4104.63
2026-07-10 19:00:00,4104.45,4106.93,4099.78,4100.89
2026-07-10 20:00:00,4100.79,4105.09,4097.48,4101.22
2026-07-10 21:00:00,4101.24,4108.71,4097.36,4108.62
2026-07-10 22:00:00,4108.58,4121.12,4107.67,4119.83
2026-07-13 00:00:00,4095.44,4101.91,4069.83,4076.79
2026-07-13 01:00:00,4076.77,4084.98,4067.68,4084.53
2026-07-13 02:00:00,4084.55,4090.98,4060.89,4074.12
2026-07-13 03:00:00,4074.14,4089.44,4065.47,4072.04
2026-07-13 04:00:00,4072.73,4077.36,4064.47,4067.92
2026-07-13 05:00:00,4067.73,4068.75,4052.09,4060.36
2026-07-13 06:00:00,4060.39,4060.56,4049.63,4058.79
2026-07-13 07:00:00,4058.93,4072.31,4051.54,4053.64
2026-07-13 08:00:00,4053.62,4063.44,4043.0,4055.63
2026-07-13 09:00:00,4055.51,4065.22,4048.47,4064.03
2026-07-13 10:00:00,4064.77,4080.8,4062.58,4073.74
2026-07-13 11:00:00,4073.73,4076.32,4067.43,4067.43
2026-07-13 12:00:00,4067.46,4070.63,4046.53,4059.79
2026-07-13 13:00:00,4059.77,4068.15,4054.6,4056.4
2026-07-13 14:00:00,4056.86,4067.2,4053.47,4066.63
2026-07-13 15:00:00,4066.64,4067.47,4042.08,4043.2
2026-07-13 16:00:00,4043.19,4046.19,3999.65,4015.35
2026-07-13 17:00:00,4015.37,4020.3,4009.85,4015.29
2026-07-13 18:00:00,4015.32,4017.4,3986.56,3992.55
