Data,Strumento,Fase,Profitto_EUR,DealID
2026-09-01 02:04:55,USD/CAD,Chiusura Assicurazione (Pre-Ticket),31.33,LOCAL
2026-09-01 05:59:33,USD/CAD,Ping-Pong TICKET1 (Fase 2),37.28,LOCAL
2026-09-01 08:30:48,USD/JPY,Stop Loss TICKET1 (Fase 2),-32.33,LOCAL
2026-09-01 10:33:22,AUD/CAD,Stop Loss MICRO / FLIP (Fase 1),29.85,LOCAL
2026-09-01 13:18:18,USD/JPY,Stop Loss TICKET2,-32.64,LOCAL
2026-09-01 14:08:39,USD/CAD,Stop Loss TICKET1 (Fase 2),-37.28,LOCAL
2026-09-01 16:44:02,USD/CHF,Chiusura Assicurazione (Pre-Ticket),36.56,LOCAL
2026-09-01 17:16:46,USD/CAD,Stop Loss TICKET2,-39.26,LOCAL
2026-09-01 20:39:31,EUR/GBP,Chiusura Assicurazione (Pre-Ticket),42.20,LOCAL
2026-09-02 03:36:54,USD/CHF,Stop Loss TICKET1 (Fase 2),-42.50,LOCAL
2026-09-02 03:37:01,USD/CHF,Stop Loss TICKET2,125.34,LOCAL
